LatS,LatE,LongS,LongE,SegSize,SegProp,CumuStart,CumuEnd
40.21033163,40.21644915,-124.2976998,-124.306693,1.022675987,1,147.3485727,148.3712487
40.21644915,40.22317614,-124.306693,-124.3150767,1.032574304,1,148.3712487,149.403823
40.22317614,40.23028541,-124.3150767,-124.3234315,1.062080372,1,149.403823,150.4659034
40.23028541,40.23967428,-124.3234315,-124.3312954,1.239164623,0.869969772,150.4659034,151.705068
40.23967428,40.24397161,-124.3312954,-124.342699,1.079438578,1,151.705068,152.7845066
40.24397161,40.25053627,-124.342699,-124.3525157,1.107696084,1,152.7845066,153.8922027
40.25053627,40.2594185,-124.3525157,-124.3621568,1.282515352,1,153.8922027,155.174718
40.2594185,40.26873105,-124.3621568,-124.3622365,1.035529731,1,155.174718,156.2102478
40.26873105,40.27809937,-124.3622365,-124.3625312,1.042009784,1,156.2102478,157.2522576
40.27809937,40.28758966,-124.3625312,-124.3593993,1.088199489,1,157.2522576,158.340457
40.28758966,40.29679345,-124.3593993,-124.355241,1.082480769,1,158.340457,159.4229378
40.29679345,40.3069388,-124.355241,-124.3523757,1.153983477,1,159.4229378,160.5769213
40.3069388,40.31677873,-124.3523757,-124.3484214,1.144368324,1,160.5769213,161.7212896
40.31677873,40.32574386,-124.3484214,-124.3519081,1.039778275,1,161.7212896,162.7610679
40.32574386,40.33440386,-124.3519081,-124.3570813,1.058093996,1,162.7610679,163.8191619
40.33440386,40.34228415,-124.3570813,-124.3628454,1.00324194,0.453676748,163.8191619,164.8224038
40.34228415,40.35126234,-124.3628454,-124.3637181,1.001064489,0.70886561,164.8224038,165.8234683
40.35126234,40.36087428,-124.3637181,-124.3641268,1.069359457,1,165.8234683,166.8928278
40.36087428,40.36995196,-124.3641268,-124.3651911,1.013410904,1,166.8928278,167.9062387
40.36995196,40.37966546,-124.3651911,-124.3672746,1.094418304,1,167.9062387,169.000657
40.37966546,40.38948236,-124.3672746,-124.3720359,1.163699605,1,169.000657,170.1643566
40.38948236,40.39738904,-124.3720359,-124.3784431,1.033144669,0.670122585,170.1643566,171.1975013
40.39738904,40.40399238,-124.3784431,-124.387041,1.034023312,1,171.1975013,172.2315246
40.40399238,40.41151135,-124.387041,-124.3935222,1.000073718,0.89452797,172.2315246,173.2315983
40.41151135,40.42027244,-124.3935222,-124.4012045,1.171339346,1,173.2315983,174.4029376
40.42027244,40.42925197,-124.4012045,-124.4028079,1.007661509,1,174.4029376,175.4105991
40.42925197,40.43776752,-124.4028079,-124.4093389,1.096417856,1,175.4105991,176.507017
40.43776752,40.44656944,-124.4093389,-124.406673,1.004393837,1,176.507017,177.5114108
40.44656944,40.45533023,-124.406673,-124.401074,1.083247753,1,177.5114108,178.5946586
40.45533023,40.46420974,-124.401074,-124.395441,1.096354547,1,178.5946586,179.6910131
40.46420974,40.47340586,-124.395441,-124.3916087,1.07271987,1,179.6910131,180.763733
40.47340586,40.48522125,-124.3916087,-124.3871211,1.367541579,1,180.763733,182.1312746
40.48522125,40.49418315,-124.3871211,-124.3836414,1.039057448,1,182.1312746,183.170332
40.49418315,40.50312859,-124.3836414,-124.386869,1.031446661,1,183.170332,184.2017787
40.50312859,40.51226159,-124.386869,-124.3846524,1.032689355,1,184.2017787,185.234468
40.51226159,40.5207142,-124.3846524,-124.3802209,1.011789987,1,185.234468,186.246258
40.5207142,40.52891939,-124.3802209,-124.3740378,1.051451804,0.901352224,186.246258,187.2977098
40.52891939,40.53752736,-124.3740378,-124.3684118,1.068747264,0.734897259,187.2977098,188.3664571
40.53752736,40.54960936,-124.3684118,-124.3618989,1.451805099,1,188.3664571,189.8182622
40.54960936,40.56014195,-124.3618989,-124.3566883,1.251169982,1,189.8182622,191.0694322
40.56014195,40.57374342,-124.3566883,-124.3505678,1.598336534,1,191.0694322,192.6677687
40.57374342,40.58768004,-124.3505678,-124.3440949,1.64326832,1,192.6677687,194.311037
40.58768004,40.59756518,-124.3440949,-124.3385588,1.194446422,1,194.311037,195.5054835
40.59756518,40.60942181,-124.3385588,-124.3327523,1.406578492,1,195.5054835,196.912062
40.60942181,40.62105016,-124.3327523,-124.3257116,1.423048624,1,196.912062,198.3351106
40.62105016,40.63095274,-124.3257116,-124.3199877,1.202417086,1,198.3351106,199.5375277
40.63095274,40.64425807,-124.3199877,-124.3103185,1.689543326,0.86514736,199.5375277,201.227071
40.64425807,40.65573674,-124.3103185,-124.3061205,1.324591847,1,201.227071,202.5516628
40.65573674,40.66741576,-124.3061205,-124.2988039,1.437832955,1,202.5516628,203.9894958
40.66741576,40.6807675,-124.2988039,-124.2897847,1.668147866,1,203.9894958,205.6576437
